,Mouse12-120806_n_15,Mouse12-120806_n_16,Mouse12-120806_n_18,Mouse12-120806_n_19,Mouse12-120806_n_20,Mouse12-120806_n_21,Mouse12-120806_n_22,Mouse12-120806_n_23,Mouse12-120806_n_24,Mouse12-120806_n_25,Mouse12-120806_n_26,Mouse12-120806_n_27,Mouse12-120806_n_28,Mouse12-120806_n_29,Mouse12-120806_n_31,Mouse12-120806_n_32,Mouse12-120806_n_33,Mouse12-120806_n_34,Mouse12-120806_n_35
wake,1600,600,1730,2290,2190,1840,2340,2230,1410,1860,1650,2140,1980,1410,2430,1230,1290,1070,1720
sws,130,190,160,160,220,170,120,220,40,200,140,240,110,190,70,220,250,230,90
rem,610,760,2460,2260,1750,2130,1950,2290,2210,2530,1350,2520,2420,2100,1730,2360,2360,2470,2200
